0:0:0:0:0:0:0:1 - - [21/May/2024:00:15:38 -0300] "GET /curso-jsp/assets/js/popper.js/popper.min.js.map HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [21/May/2024:00:15:38 -0300] "GET /curso-jsp/assets/pages/waves/js/waves.min.js.map HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/May/2024:00:16:17 -0300] "GET /curso-jsp/principal/usuario.jsp HTTP/1.1" 200 35506
0:0:0:0:0:0:0:1 - - [21/May/2024:00:16:17 -0300] "GET /curso-jsp/assets/css/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [21/May/2024:00:16:17 -0300] "GET /curso-jsp/assets/js/popper.js/popper.min.js.map HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [21/May/2024:00:16:17 -0300] "GET /curso-jsp/assets/pages/waves/js/waves.min.js.map HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/May/2024:00:16:51 -0300] "GET /curso-jsp/principal/usuario.jsp HTTP/1.1" 200 35453
0:0:0:0:0:0:0:1 - - [21/May/2024:00:16:51 -0300] "GET /curso-jsp/assets/css/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [21/May/2024:00:16:51 -0300] "GET /curso-jsp/assets/js/popper.js/popper.min.js.map HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [21/May/2024:00:16:51 -0300] "GET /curso-jsp/assets/pages/waves/js/waves.min.js.map HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:01 -0300] "GET /curso-jsp/principal/usuario.jsp HTTP/1.1" 200 38674
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:02 -0300] "GET /curso-jsp/assets/css/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:02 -0300] "GET /curso-jsp/assets/js/popper.js/popper.min.js.map HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:02 -0300] "GET /curso-jsp/assets/pages/waves/js/waves.min.js.map HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:06 -0300] "GET /curso-jsp/principal/usuario.jsp HTTP/1.1" 200 38674
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:06 -0300] "GET /curso-jsp/assets/css/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:06 -0300] "GET /curso-jsp/assets/js/popper.js/popper.min.js.map HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:06 -0300] "GET /curso-jsp/assets/pages/waves/js/waves.min.js.map HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:51 -0300] "GET /curso-jsp/principal/usuario.jsp HTTP/1.1" 200 38674
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:51 -0300] "GET /curso-jsp/assets/css/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:51 -0300] "GET /curso-jsp/assets/js/popper.js/popper.min.js.map HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [21/May/2024:00:18:51 -0300] "GET /curso-jsp/assets/pages/waves/js/waves.min.js.map HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/May/2024:00:20:26 -0300] "GET /curso-jsp/principal/usuario.jsp HTTP/1.1" 200 35866
0:0:0:0:0:0:0:1 - - [21/May/2024:00:21:41 -0300] "GET /curso-jsp/principal/usuario.jsp HTTP/1.1" 200 36169
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/principal/usuario.jsp HTTP/1.1" 200 36248
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/css/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/pages/waves/css/waves.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/icon/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/css/jquery.mCustomScrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/js/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/images/avatar-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/images/avatar-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/images/avatar-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/js/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/js/popper.js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/js/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/pages/widget/excanvas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/js/modernizr/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/js/jquery-slimscroll/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/js/SmoothScroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/pages/waves/js/waves.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/js/chart.js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/pages/widget/amchart/gauge.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/pages/widget/amchart/pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/pages/widget/amchart/light.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/pages/widget/amchart/serial.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/js/pcoded.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:00:23:51 -0300] "GET /curso-jsp/assets/js/vertical-layout.min.js HTTP/1.1" 304 -
